grid_id,cell_x,cell_y,cell_x_max,cell_y_max,cell_center_x,cell_center_y,incident_count,avg_severity,latest_date,bin_x,bin_y
-122.422252_47.708579,-122.422252473,47.70857934999995,-122.412252473,47.71857934999995,-122.417252473,47.713579349999954,0,0,,1,26
-122.422252_47.718579,-122.422252473,47.71857934999995,-122.412252473,47.72857934999995,-122.417252473,47.72357934999995,0,0,,1,27
-122.422252_47.728579,-122.422252473,47.72857934999995,-122.412252473,47.738579349999945,-122.417252473,47.73357934999995,0,0,,1,28
-122.422252_47.738579,-122.422252473,47.738579349999945,-122.412252473,47.74857934999994,-122.417252473,47.74357934999995,0,0,,1,29
-122.422252_47.748579,-122.422252473,47.74857934999994,-122.412252473,47.75857934999994,-122.417252473,47.753579349999946,0,0,,1,30
-122.422252_47.758579,-122.422252473,47.75857934999994,-122.412252473,47.76857934999994,-122.417252473,47.763579349999944,0,0,,1,31
-122.422252_47.768579,-122.422252473,47.76857934999994,-122.412252473,47.77857934999994,-122.417252473,47.77357934999994,0,0,,1,32
-122.412252_47.448579,-122.412252473,47.44857935,-122.40225247299999,47.45857935,-122.407252473,47.453579350000005,0,0,,2,0
-122.412252_47.458579,-122.412252473,47.45857935,-122.40225247299999,47.46857935,-122.407252473,47.46357935,0,0,,2,1
-122.412252_47.468579,-122.412252473,47.46857935,-122.40225247299999,47.47857935,-122.407252473,47.47357935,0,0,,2,2
-122.412252_47.478579,-122.412252473,47.47857935,-122.40225247299999,47.488579349999995,-122.407252473,47.48357935,0,0,,2,3
-122.412252_47.488579,-122.412252473,47.488579349999995,-122.40225247299999,47.49857934999999,-122.407252473,47.49357935,0,0,,2,4
-122.412252_47.498579,-122.412252473,47.49857934999999,-122.40225247299999,47.50857934999999,-122.407252473,47.503579349999995,0,0,,2,5
-122.412252_47.508579,-122.412252473,47.50857934999999,-122.40225247299999,47.51857934999999,-122.407252473,47.51357934999999,0,0,,2,6
-122.412252_47.518579,-122.412252473,47.51857934999999,-122.40225247299999,47.52857934999999,-122.407252473,47.52357934999999,0,0,,2,7
-122.412252_47.528579,-122.412252473,47.52857934999999,-122.40225247299999,47.538579349999985,-122.407252473,47.53357934999999,0,0,,2,8
-122.412252_47.538579,-122.412252473,47.538579349999985,-122.40225247299999,47.54857934999998,-122.407252473,47.54357934999999,0,0,,2,9
-122.412252_47.548579,-122.412252473,47.54857934999998,-122.40225247299999,47.55857934999998,-122.407252473,47.553579349999985,0,0,,2,10
-122.412252_47.558579,-122.412252473,47.55857934999998,-122.40225247299999,47.56857934999998,-122.407252473,47.56357934999998,0,0,,2,11
-122.412252_47.568579,-122.412252473,47.56857934999998,-122.40225247299999,47.57857934999998,-122.407252473,47.57357934999998,0,0,,2,12
-122.412252_47.578579,-122.412252473,47.57857934999998,-122.40225247299999,47.588579349999975,-122.407252473,47.58357934999998,0,0,,2,13
-122.412252_47.588579,-122.412252473,47.588579349999975,-122.40225247299999,47.59857934999997,-122.407252473,47.59357934999998,0,0,,2,14
-122.412252_47.598579,-122.412252473,47.59857934999997,-122.40225247299999,47.60857934999997,-122.407252473,47.603579349999976,0,0,,2,15
